Date,MSFT prices,AAPL prices,KO prices,PEP prices,GS prices,MS prices,GM prices,F prices
2018-05-29,90.55497741699219,44.272178649902344,33.1143913269043,79.02325439453125,189.7992706298828,39.24363708496094,33.10479736328125,7.574804782867432
2018-05-30,91.42347717285156,44.17794418334961,33.463539123535156,79.5938720703125,192.25743103027344,40.03699493408203,33.50332260131836,7.647640228271484
2018-05-31,91.32184600830078,44.02949142456055,33.36268615722656,79.07953643798828,189.505615234375,39.38502883911133,37.81633377075195,7.647640228271484
2018-06-01,93.1235580444336,44.82353210449219,33.45579528808594,79.07953643798828,191.577880859375,40.22551727294922,38.259132385253906,7.753582000732422
2018-06-04,93.93659973144531,45.19816207885742,33.74285125732422,78.97700500488281,192.869873046875,40.49259948730469,38.77280044555664,7.773443698883057
2018-06-05,94.41705322265625,45.5468635559082,33.44801712036133,79.0479736328125,191.5695037841797,39.88774490356445,38.44511795043945,7.833036422729492
2018-06-06,94.6942138671875,45.7047233581543,33.719581604003906,79.53707122802734,194.83302307128906,40.775367736816406,38.9056396484375,7.925736427307129
2018-06-07,93.2066879272461,45.58220672607422,33.70405960083008,79.79736328125,195.85658264160156,40.95602798461914,39.31659698486328,7.965463638305664
2018-06-08,93.8996353149414,45.167518615722656,34.099754333496094,80.84651184082031,195.80621337890625,40.775367736816406,39.531005859375,8.011811256408691
2018-06-11,93.36376190185547,45.056785583496094,34.239418029785156,81.41445922851562,196.3935546875,40.67325973510742,40.067012786865234,7.965463638305664
2018-06-12,93.60397338867188,45.30418014526367,34.4566650390625,82.416259765625,195.16864013671875,40.311927795410156,39.46846389770508,8.018431663513184
2018-06-13,93.17896270751953,44.931915283203125,34.27821731567383,83.03943634033203,196.17538452148438,40.53186798095703,39.709651947021484,7.958840370178223
2018-06-14,93.70561218261719,44.955482482910156,34.113826751708984,82.92900085449219,196.0243682861328,40.304073333740234,38.923519134521484,7.872764587402344
2018-06-15,92.51373291015625,44.49367141723633,34.53652572631836,84.8852767944336,194.57296752929688,40.18623352050781,39.227256774902344,7.86614465713501
2018-06-18,93.18820190429688,44.47011184692383,34.09033966064453,83.12621307373047,194.12831115722656,39.8798942565918,39.26298904418945,7.938975811004639
2018-06-19,93.18820190429688,43.7514762878418,34.12948226928711,83.58372497558594,191.55271911621094,39.212223052978516,37.75322341918945,7.872764587402344
2018-06-20,94.12138366699219,43.942317962646484,33.863338470458984,83.46540069580078,191.13320922851562,39.18865203857422,37.47628402709961,7.859521865844727
2018-06-21,93.44691467285156,43.69729232788086,33.73025131225586,84.59341430664062,190.42845153808594,39.110103607177734,36.73479080200195,7.753582000732422
2018-06-22,92.7724380493164,43.57004165649414,33.85550308227539,85.48478698730469,189.62310791015625,38.403160095214844,36.85093688964844,7.713850975036621
2018-06-25,90.90607452392578,42.9221076965332,34.113826751708984,85.97382354736328,185.86447143554688,37.649070739746094,36.2791862487793,7.61453104019165
2018-06-26,91.54359436035156,43.454593658447266,33.91812515258789,85.23238372802734,185.89805603027344,37.539100646972656,36.63653564453125,7.627775192260742
2018-06-27,90.1207504272461,43.39097213745117,33.71460723876953,85.4059066772461,184.72352600097656,37.06779861450195,36.06476974487305,7.561561107635498
2018-06-28,91.12785339355469,43.70671463012695,34.02771759033203,85.72930908203125,187.44175720214844,37.931846618652344,36.198768615722656,7.468863487243652
2018-06-29,91.10932922363281,43.61482238769531,34.3329963684082,85.87918853759766,185.0507354736328,37.232765197753906,35.19821548461914,7.32981538772583
2018-07-02,92.40284729003906,44.1025505065918,34.24690246582031,86.39981079101562,187.3074951171875,37.4841194152832,35.28754425048828,7.349679946899414
2018-07-03,91.51588439941406,43.33442306518555,34.43476486206055,85.8239974975586,184.8913116455078,36.93426513671875,34.814083099365234,7.276843070983887
2018-07-05,92.171875,43.68315887451172,34.95923614501953,86.41559600830078,185.1933135986328,36.68290710449219,35.26076126098633,7.3165717124938965
2018-07-06,93.46539306640625,44.288673400878906,34.943580627441406,86.42349243164062,186.07421875,36.9892463684082,34.98381423950195,7.323194980621338
2018-07-09,94.1029052734375,44.90363693237305,34.75571060180664,85.00360107421875,191.2758331298828,38.0261116027832,35.51089096069336,7.415892124176025
2018-07-10,94.35234832763672,44.849449157714844,35.201900482177734,89.0502700805664,190.3194122314453,37.78261184692383,35.81462860107422,7.44899845123291
2018-07-11,94.2230224609375,44.267478942871094,35.061004638671875,88.77417755126953,189.32101440429688,37.507694244384766,35.10888671875,7.32981538772583
2018-07-12,96.26490783691406,45.00967025756836,34.96705627441406,87.97745513916016,190.6298370361328,37.71977233886719,35.08208084106445,7.3165717124938965
2018-07-13,97.41057586669922,45.080352783203125,35.0218620300293,88.89250946044922,189.95025634765625,37.76689147949219,35.1624870300293,7.270223140716553
2018-07-16,96.9301528930664,44.98139190673828,35.01403045654297,89.10548400878906,194.1702880859375,38.4110107421875,35.34115219116211,7.184144020080566
2018-07-17,97.89103698730469,45.10862350463867,35.421085357666016,90.62001037597656,193.81790161132812,38.63094711303711,35.76103210449219,7.190766334533691
2018-07-18,97.12418365478516,44.8612174987793,35.31930923461914,90.58059692382812,194.00247192382812,39.71494674682617,35.61810302734375,7.197386741638184
2018-07-19,96.45893859863281,45.209938049316406,35.31148147583008,91.32207489013672,192.65171813964844,39.15724563598633,35.117828369140625,7.164280414581299
2018-07-20,98.18668365478516,45.10626220703125,35.444557189941406,91.51139068603516,194.38003540039062,39.487152099609375,35.19821548461914,7.090423107147217
2018-07-23,99.75740814208984,45.14632797241211,35.186241149902344,90.2335205078125,196.11663818359375,39.85634231567383,35.08208084106445,7.029991626739502
2018-07-24,99.4709701538086,45.473819732666016,35.42890167236328,90.50959777832031,197.89532470703125,40.04485321044922,35.269691467285156,7.097136974334717
2018-07-25,102.39985656738281,45.90264129638672,36.07862091064453,90.88033294677734,198.5748748779297,40.091983795166016,33.634849548339844,7.063564777374268
2018-07-26,101.28186798095703,45.7589225769043,36.19603729248047,90.71466827392578,198.92723083496094,40.05270004272461,32.83082580566406,6.640556812286377
2018-07-27,99.48943328857422,44.99789047241211,36.172542572021484,90.14674377441406,199.3718719482422,40.09983825683594,33.52764129638672,6.667415618896484
2018-07-30,97.35514831542969,44.74576950073242,36.18820571899414,90.06785583496094,200.47088623046875,40.21835708618164,33.6527099609375,6.761414527893066
2018-07-31,98.01114654541016,44.83530807495117,36.50132369995117,90.71466827392578,199.19564819335938,39.949710845947266,33.86711883544922,6.741272926330566
2018-08-01,98.19593048095703,47.476558685302734,36.31345748901367,89.61820220947266,198.0294647216797,39.64945602416992,33.179237365722656,6.647271156311035
2018-08-02,99.38780975341797,48.864341735839844,36.14908218383789,90.47014617919922,196.3096466064453,39.35711669921875,32.71469497680664,6.660699367523193
2018-08-03,99.82206726074219,49.00570297241211,36.49349594116211,91.74014282226562,196.3935546875,39.436119079589844,33.706321716308594,6.741272926330566
2018-08-06,99.90522766113281,49.26017761230469,36.51698303222656,92.59208679199219,197.9372100830078,39.49933624267578,33.59018325805664,6.734558582305908
2018-08-07,100.59815216064453,48.798370361328125,36.399559020996094,90.09941864013672,199.53123474121094,39.60993957519531,33.57231140136719,6.768129348754883
2018-08-08,101.16175842285156,48.831356048583984,36.12559127807617,89.52355194091797,198.30636596679688,39.602046966552734,33.64377975463867,6.747988700866699
2018-08-09,101.32806396484375,49.21540451049805,36.28213119506836,89.689208984375,196.13345336914062,39.06474685668945,33.50977325439453,6.653985977172852
2018-08-10,100.70902252197266,49.068817138671875,36.07078552246094,89.03450775146484,192.63497924804688,38.23508834838867,32.68789291381836,6.539841651916504
2018-08-13,99.97914123535156,49.38563919067383,35.875091552734375,89.1528091430664,190.3278350830078,37.41334533691406,32.303749084472656,6.351837635040283
2018-08-14,101.22644805908203,49.59371566772461,35.922054290771484,89.21592712402344,192.59300231933594,37.816322326660156,32.33948516845703,6.378695487976074
2018-08-15,99.8537826538086,49.70956802368164,36.07078552246094,89.49201202392578,192.33291625976562,37.49236297607422,32.10720443725586,6.345121383666992
2018-08-16,99.83519744873047,50.43781280517578,36.180389404296875,90.123046875,195.47906494140625,38.16399383544922,32.419891357421875,6.385409832000732
2018-08-17,99.7795639038086,51.44505310058594,36.477840423583984,90.68313598632812,195.79788208007812,38.21928787231445,32.50028991699219,6.412265300750732
2018-08-20,99.12105560302734,50.943809509277344,36.5796012878418,90.58847045898438,197.81138610839844,38.15608215332031,32.84870147705078,6.526412487030029
2018-08-21,98.29558563232422,50.84449768066406,36.180389404296875,89.70497131347656,200.2191925048828,38.35362243652344,32.9737663269043,6.620413303375244
2018-08-22,99.29727172851562,50.84686279296875,35.953372955322266,88.53753662109375,200.798095703125,38.401023864746094,32.27693557739258,6.506268501281738
2018-08-23,99.76101684570312,50.950889587402344,35.77332305908203,88.29300689697266,198.28115844726562,38.02964401245117,31.865997314453125,6.465982913970947
2018-08-24,100.54010772705078,51.10930252075195,35.718536376953125,88.4665298461914,197.249267578125,38.037559509277344,32.116146087646484,6.4995551109313965
2018-08-27,101.6530990600586,51.53018569946289,35.765499114990234,88.67162322998047,203.53314208984375,39.420310974121094,33.67058181762695,6.707700252532959
2018-08-28,102.26522827148438,51.94630432128906,35.51499938964844,87.69348907470703,203.34014892578125,39.507225036621094,33.34004592895508,6.721131324768066
2018-08-29,103.89762115478516,52.72183609008789,35.48370361328125,88.38764190673828,203.19705200195312,39.46772384643555,33.161373138427734,6.694272041320801
2018-08-30,103.83270263671875,53.20655059814453,35.186241149902344,88.31665802001953,201.51358032226562,38.954132080078125,32.482425689697266,6.51298189163208
2018-08-31,104.1851577758789,53.8212890625,34.88878631591797,88.3561019897461,200.17515563964844,38.58275604248047,32.20548629760742,6.3652663230896
2018-09-04,103.61011505126953,53.993892669677734,35.03751754760742,87.55939483642578,200.0489959716797,38.48794937133789,31.8034725189209,6.358552932739258
2018-09-05,100.62357330322266,53.6415901184082,35.522850036621094,89.23170471191406,199.9647674560547,38.495849609375,31.52652931213379,6.371978759765625
2018-09-06,100.85547637939453,52.750213623046875,35.82813262939453,90.27201843261719,197.4058380126953,37.87163162231445,31.04790687561035,6.331693172454834
2018-09-07,100.36387634277344,52.324607849121094,35.78899383544922,89.66754913330078,196.89239501953125,38.10078048706055,30.62344741821289,6.2242631912231445
2018-09-10,101.44905090332031,51.622379302978516,36.055137634277344,90.32768249511719,195.2089385986328,37.87953186035156,30.587322235107422,6.298123359680176
2018-09-11,103.17417907714844,52.92753601074219,36.02382278442383,90.13679504394531,193.77792358398438,37.816322326660156,30.49701690673828,6.2511210441589355
2018-09-12,103.61011505126953,52.270240783691406,36.19603729248047,90.55036926269531,192.0439453125,37.51606369018555,30.758914947509766,6.271265506744385
